timestamp,price,action,timeframe,status,entry_price,exit_time,exit_price,result,signal_id,strategy_name,candles,trade_id,entry_time
,,buy,120,completed,67610.64978074523,1718264907.771,67636.29485102637,win,1718264607709,SMA Crossover,"[(1718264792.051, 67610.64978074523), (1718264797.06, 67610.64978074523), (1718264802.048, 67611.43084114254), (1718264807.052, 67614.96753835278), (1718264812.061, 67614.96753835278), (1718264817.044, 67612.07645723135), (1718264822.054, 67610.80423000139), (1718264827.063, 67615.04827108858), (1718264832.061, 67614.54246303771), (1718264837.05, 67616.36935625951), (1718264842.065, 67618.15982236351), (1718264847.044, 67623.45552383763), (1718264852.068, 67622.5779809817), (1718264857.059, 67623.54898544606), (1718264862.047, 67623.46459580607), (1718264867.049, 67626.62366224073), (1718264872.057, 67624.82855641269), (1718264877.043, 67624.41834159246), (1718264882.05, 67624.48480324472), (1718264887.067, 67634.08654357254), (1718264892.053, 67635.35801466044), (1718264897.048, 67636.03788622383), (1718264902.065, 67634.45593580385), (1718264907.771, 67636.29485102637)]",,1718264787.7094715
,,sell,60,completed,67623.54898544606,1718264918.713,67644.77220809148,loss,1718264672513,RSI Overbought,"[(1718264857.059, 67623.54898544606), (1718264862.047, 67623.46459580607), (1718264867.049, 67626.62366224073), (1718264872.057, 67624.82855641269), (1718264877.043, 67624.41834159246), (1718264882.05, 67624.48480324472), (1718264887.067, 67634.08654357254), (1718264892.053, 67635.35801466044), (1718264897.048, 67636.03788622383), (1718264902.065, 67634.45593580385), (1718264912.053, 67638.14638777041), (1718264918.713, 67644.77220809148)]",,1718264852.5139244
,,sell,60,completed,67652.25532765347,1718265097.135,67643.94720885983,win,1718264852593,RSI Overbought,"[(1718265037.055, 67652.25532765347), (1718265042.047, 67650.62484926263), (1718265047.053, 67645.81331294765), (1718265052.058, 67643.23341312469), (1718265057.053, 67647.10121769021), (1718265062.057, 67645.68553052394), (1718265067.065, 67643.56269827938), (1718265073.86, 67643.00813001642), (1718265078.95, 67641.35920998851), (1718265084.018, 67641.97057056696), (1718265088.45, 67642.78323100683), (1718265092.133, 67643.22122827651), (1718265097.135, 67643.94720885983)]",,1718265032.5936432
,,sell,60,completed,67643.47571811386,1718265162.05,67633.88601766738,win,1718264919664,RSI Overbought,"[(1718265102.535, 67643.47571811386), (1718265107.126, 67639.03997204705), (1718265113.022, 67630.5648439392), (1718265117.066, 67630.5648439392), (1718265122.068, 67632.67688347898), (1718265127.062, 67631.16280762406), (1718265132.053, 67640.13880248275), (1718265137.049, 67639.32746911269), (1718265142.076, 67639.88732510872), (1718265147.044, 67638.86145397779), (1718265152.057, 67638.86145397779), (1718265157.063, 67633.88570993207), (1718265162.05, 67633.88601766738)]",,1718265099.6641107
,,buy,120,completed,67642.65970536399,1718265299.545,67666.54674382381,win,1718264997492,SMA Crossover,"[(1718265182.062, 67642.65970536399), (1718265187.07, 67639.45553578518), (1718265192.062, 67633.60335494975), (1718265197.063, 67633.60335494975), (1718265202.071, 67633.52759029274), (1718265207.056, 67634.0253582765), (1718265212.088, 67644.46816303403), (1718265217.232, 67644.46816303403), (1718265222.054, 67643.73728851891), (1718265227.056, 67650.5791000843), (1718265232.061, 67650.48269117493), (1718265237.049, 67650.62751978265), (1718265242.065, 67650.55557112592), (1718265247.117, 67650.55557112592), (1718265252.057, 67654.74950794475), (1718265257.053, 67658.11455376918), (1718265262.128, 67659.77375088118), (1718265267.052, 67661.23923563179), (1718265272.072, 67661.97605368304), (1718265277.219, 67666.1918293564), (1718265282.142, 67660.43770484666), (1718265288.829, 67669.42073815112), (1718265292.155, 67669.86594593662), (1718265299.545, 67666.54674382381)]",,1718265177.4923148
,,sell,60,completed,67685.35685363835,1718265487.123,67688.41038212665,loss,1718265242594,RSI Overbought,"[(1718265427.068, 67685.35685363835), (1718265433.805, 67683.6638800239), (1718265438.787, 67685.63345861556), (1718265442.155, 67684.32253162815), (1718265448.843, 67685.07233665146), (1718265452.145, 67685.0911556323), (1718265457.219, 67683.10226290635), (1718265462.27, 67683.10226290635), (1718265469.348, 67686.94599769953), (1718265472.217, 67686.94599769953), (1718265477.251, 67687.68342481159), (1718265482.153, 67688.34556874588), (1718265487.123, 67688.41038212665)]",,1718265422.5947502
,,sell,60,completed,67696.36501677953,1718265552.061,67700.14007120242,loss,1718265307609,RSI Overbought,"[(1718265492.128, 67696.36501677953), (1718265497.065, 67694.33337859722), (1718265502.117, 67691.00575342328), (1718265507.051, 67691.31409819653), (1718265512.071, 67691.13440558387), (1718265517.065, 67693.36811450198), (1718265522.053, 67694.51196709885), (1718265527.058, 67694.51196709885), (1718265532.067, 67693.0011458028), (1718265537.051, 67691.65790505077), (1718265542.066, 67691.65790505077), (1718265547.069, 67700.1407783985), (1718265552.061, 67700.14007120242)]",,1718265487.6091948
,,buy,120,completed,67704.26343485563,1718265697.117,67711.73629827276,win,1718265392651,SMA Crossover,"[(1718265577.059, 67704.26343485563), (1718265582.051, 67695.93645311336), (1718265587.052, 67700.04102164287), (1718265592.063, 67700.04102164287), (1718265597.05, 67712.3537457021), (1718265602.079, 67712.42560764824), (1718265607.121, 67708.85074572299), (1718265612.068, 67708.78353477399), (1718265617.052, 67705.22482803576), (1718265622.071, 67705.22482803576), (1718265627.873, 67704.08769201222), (1718265632.724, 67711.68523563312), (1718265637.744, 67704.19588834657), (1718265642.197, 67710.52100337305), (1718265649.259, 67710.61047540767), (1718265652.718, 67708.31948129633), (1718265659.529, 67709.8878276047), (1718265663.133, 67712.50165283709), (1718265667.147, 67712.50165283709), (1718265673.619, 67713.53636424243), (1718265677.152, 67712.37419590434), (1718265682.124, 67712.6226941271), (1718265687.419, 67712.83554844462), (1718265692.066, 67713.10374990808), (1718265697.117, 67711.73629827276)]",,1718265572.6516433
,,sell,60,completed,67706.52983585109,1718265797.123,67699.75354879172,win,1718265552718,RSI Overbought,"[(1718265737.059, 67706.52983585109), (1718265742.065, 67705.6787709062), (1718265747.05, 67705.6787709062), (1718265752.057, 67708.44677747389), (1718265757.059, 67706.29876467031), (1718265762.053, 67705.50098708582), (1718265767.052, 67705.50098708582), (1718265772.068, 67696.4100087956), (1718265777.052, 67685.95383321906), (1718265782.057, 67689.88939857461), (1718265787.077, 67697.25278592399), (1718265792.06, 67700.09328514243), (1718265797.123, 67699.75354879172)]",,1718265732.718929
,,buy,120,completed,67732.90945172442,1718266137.045,67731.91868875336,loss,1718265832718,SMA Crossover,"[(1718266013.332, 67732.90945172442), (1718266017.136, 67726.9953786637), (1718266023.93, 67728.72824220343), (1718266027.151, 67726.97458612538), (1718266033.722, 67725.3778795595), (1718266037.327, 67727.92933205847), (1718266042.151, 67730.51370739377), (1718266047.121, 67736.43486558992), (1718266052.07, 67730.40951717466), (1718266057.072, 67732.12084078127), (1718266062.053, 67732.14899719576), (1718266067.045, 67734.70419589919), (1718266072.062, 67735.58092387948), (1718266077.05, 67735.28330035094), (1718266082.069, 67735.28330035094), (1718266087.064, 67736.52701276871), (1718266092.053, 67736.21765484869), (1718266097.048, 67734.66270107773), (1718266102.059, 67734.76992517013), (1718266107.045, 67735.64506963654), (1718266112.064, 67734.89122396243), (1718266117.057, 67734.57344042473), (1718266122.051, 67736.89874680027), (1718266127.048, 67736.89874680027), (1718266132.063, 67734.52770310987), (1718266137.045, 67731.91868875336)]",,1718266012.7185316
